代碼,學校類別,學校名稱,學校名稱,是否倒閉,倒閉年,公/私立,公私立碼,體系別,體系碼,縣市名稱,地區,地區碼,106註冊率,107註冊率,108註冊率,109註冊率,110註冊率,111註冊率,112註冊率,113註冊率,備註,114核定招生名額,106師生比,107師生比,108師生比,109師生比,110師生比,111師生比,112師生比,113師生比,106負債率,107負債率,108負債率,109負債率,110負債率,111負債率,112負債率,106學生數,107學生數,108學生數,109學生數,110學生數,111學生數,112學生數,113學生數,106資金增減,107資金增減,108資金增減,109資金增減,110資金增減,111資金增減,112資金增減
1066,-,環球科技大學,環球科技大學,,113,私立,1,[2]技職,1,雲林縣,中部,1,63.89,66.34,59.17,59.67,60.22,62.8,NaN,NaN,,,21.12,19.87,18.39,18.99,15.72,12.99,7.71,NaN,9.05,8.14,15.95,14.7,14.68,22.3,37.48,3696,3159,2704,2412,1855,1364,709,NaN,-166505,-43900,33897,-15345,-58079,-40636,58352
1,公立大學,國立政治大學,國立政治大學,,,公立,0,[1]一般,0,臺北市,北部,0,94.44,95.13,95,96.44,96.53,98.44,97.1,97.34,,2062,20.38,20.64,19.84,20.06,20.05,20.77,20.91,20.91,27.06,34.01,36.14,36.5,37.4,37.41,37.41,14612,14593,14603,14585,14478,14857,14915,15035,655226,-421693,-185608,666159,-118515,475413,209004
2,,國立清華大學,國立清華大學,,,公立,0,[1]一般,0,新竹市,北部,0,94.56,95.97,96.43,99.04,100,100,100,100,,1963,18.87,18.78,18.6,18.68,18.92,19.42,20,19.57,27.14,31.23,33.6,34.89,39.32,42.76,42.47,15534,15436,15385,15601,16122,16647,16778,16854,541643,370786,-522595,133935,536544,1182074,827046
3,,國立臺灣大學,國立臺灣大學,,,公立,0,[1]一般,0,臺北市,北部,0,94.36,94.53,95.17,96.6,100,99.9,99.42,99.54,,3452,14.85,14.81,15.03,15.03,15.19,15.16,15.61,15.78,32.75,35.09,43.16,44.81,37.98,39.26,39.18,30374,30260,30382,30852,31292,31799,32305,32858,44594,-378001,280940,1775403,2863718,-2649242,-898698
4,,國立臺灣師範大學,國立臺灣師範大學,,,公立,0,[3]師範,2,臺北市,北部,0,92.89,92.55,93.92,93.63,96.51,96.73,96.92,96.16,,1708,16.28,16.14,16.79,16.76,17.03,16.98,17.18,17.39,14.39,16.26,19.39,25.13,30.4,33.15,33.82,13434,13540,13653,13791,14030,14080,14224,14291,380942,-124282,72619,157674,-497274,1082311,868505
5,,國立成功大學,國立成功大學,,,公立,0,[1]一般,0,臺南市,南部,2,93.34,94.49,95.09,97.3,100,100,100,100,,2724,15.01,15.01,14.93,15.18,15.71,15.95,19.89,16.75,30.82,33.3,34.14,35.66,36.35,38.35,39.7,19909,19890,20010,20274,20869,21292,21500,21778,795245,-273580,187734,293055,21564,802397,376172
6,,國立中興大學,國立中興大學,,,公立,0,[1]一般,0,臺中市,中部,1,92.95,93.64,94.38,94.83,98.74,100,100,97.72,,1903,16.1,16.04,15.89,15.97,14.9,14.81,15.02,15.08,21.45,24.2,25.47,26.11,26.78,25.78,26.75,12383,12432,12411,12378,12512,12838,12975,13259,59735,-427464,-13720,275258,-277008,335905,-194117
7,,國立陽明交通大學,國立陽明交通大學,,,公立,0,[1]一般,0,新竹市,北部,0,94.76,96.25,96.25,98.32,100,100,100,100,,1738,17.59,17.33,17.62,17.99,16.12,16.35,17.11,17.51,34.72,38.58,38.9,36.05,36.83,38.12,38.21,12699,12738,13146,13582,18631,18835,19491,20133,267988,-9276,104393,169281,-48231,1106605,155438
8,,國立中央大學,國立中央大學,,,公立,0,[1]一般,0,桃園市,北部,0,93.27,93.43,93.07,96.34,100,100,100,100,,1500,16.23,16.45,15.83,15.79,15.84,16.97,17.32,17.56,26.56,27.87,28,29.17,30.03,30.69,30.08,10599,10612,10479,10563,10695,10829,10981,11078,140356,-40893,-243586,785,44533,-124907,236502
9,,國立中山大學,國立中山大學,,,公立,0,[1]一般,0,高雄市,南部,2,89.32,89.65,90.35,92.54,96.81,98.93,98.06,94.38,,1144,16.58,16.09,15.82,15.41,15.34,15.52,15.14,15.78,29.64,30.75,32.15,36.73,38.12,40.82,41.4,8439,8400,8495,8601,8807,9201,9294,9970,315054,-31536,-104082,45996,347322,-158270,462941
12,,國立臺灣海洋大學,國立臺灣海洋大學,,,公立,0,[1]一般,0,基隆市,北部,0,86.47,88.12,90.03,89.49,90.69,91.3,92.06,89.05,,1360,17.97,18,17.78,17.52,17.68,17.87,18.54,18.48,15.42,16.92,17.43,26.17,26.31,27.42,27.39,7422,7486,7644,7707,7832,7900,8029,8001,103970,-15535,-186916,-44953,-11076,155246,131047
13,,國立中正大學,國立中正大學,,,公立,0,[1]一般,0,嘉義縣,南部,2,91.37,90.45,91.59,92.7,95.15,95.58,95.07,93.81,,1586,18.71,18.21,18.49,18.23,18.39,18.93,19.41,18.96,16.45,18.09,16.91,18.68,19.54,19.59,19.23,10142,9978,9836,9716,9784,9974,10072,10085,176989,-814435,-250565,180974,1105,430736,-590360
14,,國立高雄師範大學,國立高雄師範大學,,,公立,0,[3]師範,2,高雄市,南部,2,90.1,86.17,88.12,89.36,95.48,93.46,92.64,89.65,,841,18.33,18.43,18.48,19.34,20.05,20.61,22.05,21.69,10.52,10.54,11.14,11.19,12.12,12.66,13.63,5315,5326,5359,5531,5693,5834,5976,5921,148234,217267,-313777,107566,140132,-75108,-85121
15,,國立彰化師範大學,國立彰化師範大學,,,公立,0,[3]師範,2,彰化縣,中部,1,94.79,93.94,96,95.21,96.42,96.85,96.91,95.78,,1128,18.45,18.83,19.35,19.13,18.59,19.62,19.89,20.28,25.41,26,26.35,27.55,28.58,29.76,29.14,6882,6947,7023,7041,7103,7162,7240,7320,151511,-476055,779945,-439866,-153791,317978,-203446
16,,(自增)國立陽明大學,國立陽明大學,,110,,0,,0,臺北市,北部,0,85.16,86.83,89.51,95.15,NaN,NaN,NaN,NaN,,,10.55,10.3,10.31,10.81,NaN,NaN,NaN,NaN,29.08,29.73,26.92,NaN,NaN,NaN,NaN,4197,4193,4186,4379,NaN,NaN,NaN,NaN,231274,-277263,50631,NaN,NaN,NaN,NaN
17,,國立臺北大學,國立臺北大學,,,公立,0,[1]一般,0,新北市,北部,0,95.19,96.32,96.52,97.67,97.23,94.92,95.23,94.67,,1340,20.21,19.39,19.44,19.31,19.98,20.23,19.44,19.64,8.5,8.58,8.79,10.17,10.36,11.06,12.83,7438,7349,7387,7415,7572,7667,7700,7817,166395,-91251,-35572,-58788,151944,4315,-52442
18,,國立嘉義大學,國立嘉義大學,,,公立,0,[1]一般,0,嘉義市,南部,2,89.94,90.96,91.54,90.67,93.76,82.45,89.75,86.46,,1901,18.22,17.81,17.33,17.28,17.98,18.03,18.49,18.36,10.09,11.47,12.11,13.19,14.48,14.86,15.18,9366,9173,9009,8863,8989,8745,8970,8923,325000,-23654,-29063,-38257,-58053,-8148,-85315
19,,國立高雄大學,國立高雄大學,,,公立,0,[1]一般,0,高雄市,南部,2,92.07,92.71,93.99,92.81,96.25,94.47,97.26,94.48,,1062,20.87,20.83,21.05,21.29,21.93,22.85,23.7,23.59,6.78,7.72,9.3,10.73,11.93,12.04,12.41,4863,4937,5010,5066,5220,5323,5475,5473,59935,-1409,37775,-38130,77305,-46544,-23187
20,,國立東華大學,國立東華大學,,,公立,0,[1]一般,0,花蓮縣,東部,3,87.02,86.05,89.22,92.31,93.88,87.53,92.38,87.68,,1737,19.49,19.72,20.37,20.7,21.25,21.27,21.39,21.01,9.57,10.74,10.92,11.64,11.86,13.57,13.08,9587,9407,9371,9459,9688,9742,9838,9726,407723,-248857,30265,147410,40720,-323670,-27890
21,,國立暨南國際大學,國立暨南國際大學,,,公立,0,[1]一般,0,南投縣,中部,1,83.03,83.18,87.32,90.24,94.66,92.61,94.68,91.94,,984,22.1,21.45,20.67,20.34,21.32,22.3,23.02,23.03,16.46,17.06,18.67,21.65,24.26,24.11,24.87,5924,5771,5684,5554,5756,5887,6030,6150,117557,96896,-82348,87081,-13458,-89953,109091
