代碼,學校類別,學校名稱,學校名稱.1,是否倒閉,倒閉年,公/私立,公私立碼,體系別,體系碼,縣市名稱,地區,地區碼,106註冊率,107註冊率,108註冊率,109註冊率,110註冊率,111註冊率,112註冊率,113註冊率,備註,114核定招生名額,106師生比,107師生比,108師生比,109師生比,110師生比,111師生比,112師生比,113師生比,106負債率,107負債率,108負債率,109負債率,110負債率,111負債率,112負債率,106學生數,107學生數,108學生數,109學生數,110學生數,111學生數,112學生數,113學生數,106資金增減,107資金增減,108資金增減,109資金增減,110資金增減,111資金增減,112資金增減
1003,,東吳大學,東吳大學,0,,私立,1,[1]一般,0,臺北市,北部,0,93.45,92.74,95.17,94.23,93.76,87.2,91.31,94.94,,2759.0,31.35,30.36,29.96,30.63,30.85,31.07,32.12,32.63,7.81,8.16,6.97,8.11,7.86,7.36,11.29,13576.0,13419.0,13184.0,13172.0,13295.0,13234.0,13329.0,13247.0,137656.0,-183954.0,-167092.0,-76205.0,79932.0,134391.0,477936.0
1004,,中原大學,中原大學,0,,私立,1,[1]一般,0,桃園市,北部,0,93.42,93.5,94.96,96.82,99.15,97.36,97.58,97.4,,3006.0,32.25,30.89,31.18,31.46,31.31,31.09,30.85,30.07,7.24,6.76,5.54,5.82,5.48,5.32,8.58,15480.0,15320.0,15374.0,15510.0,15623.0,15702.0,15732.0,15576.0,51733.0,-3080.0,-257965.0,-93253.0,151173.0,143490.0,676205.0
1005,,淡江大學,淡江大學學校財團法人淡江大學,0,,私立,1,[1]一般,0,新北市,北部,0,83.94,84.69,89.42,93.19,94.29,79.27,87.6,93.83,,4145.0,30.57,30.75,31.09,30.75,30.55,28.87,31.0,31.37,17.77,17.16,16.47,16.6,16.29,15.92,18.4,23204.0,22694.0,22357.0,22205.0,22665.0,21656.0,21236.0,21051.0,57486.0,79088.0,90050.0,275425.0,394194.0,2061.0,594864.0
1006,,中國文化大學,中國文化大學,0,,私立,1,[1]一般,0,臺北市,北部,0,85.86,86.28,89.26,87.78,85.83,58.59,66.12,78.73,,3200.0,31.95,31.59,31.17,31.96,32.16,30.35,28.96,28.31,3.61,3.38,3.03,4.46,3.28,3.95,6.25,23484.0,22969.0,22565.0,22501.0,22290.0,20210.0,17987.0,16192.0,43624.0,-29632.0,74521.0,138216.0,46705.0,-14720.0,309691.0
1007,,逢甲大學,逢甲大學,0,,私立,1,[1]一般,0,臺中市,中部,1,92.96,93.38,92.48,96.21,99.79,96.46,96.84,97.29,,3850.0,29.45,28.88,29.5,28.81,29.51,30.16,29.98,30.21,29.51,27.77,29.41,27.12,26.13,26.28,26.83,19111.0,18860.0,18674.0,19127.0,19385.0,19450.0,19490.0,19548.0,-1884128.0,501761.0,339528.0,123806.0,-7323.0,758423.0,933847.0
1008,,靜宜大學,靜宜大學,0,,私立,1,[1]一般,0,臺中市,中部,1,92.89,93.38,93.24,95.18,94.35,79.3,81.12,94.09,,2103.0,32.59,31.5,30.21,30.53,31.66,31.59,31.86,32.23,4.12,3.63,5.41,5.17,5.82,5.6,9.38,11959.0,11781.0,11691.0,11694.0,11840.0,11372.0,10611.0,10184.0,57999.0,-76728.0,-428796.0,-137873.0,-1717.0,129396.0,253365.0
1009,,長庚大學,長庚大學,0,,私立,1,[1]一般,0,桃園市,北部,0,84.97,84.36,88.34,92.03,94.73,94.52,95.15,92.5,,1197.0,11.73,11.69,11.43,11.61,11.39,11.69,11.43,11.56,1.11,1.25,1.19,1.0,1.51,1.27,2.0,6989.0,6853.0,6641.0,6630.0,6741.0,6804.0,6925.0,7062.0,659727.0,514622.0,84964.0,-343514.0,-856941.0,2539441.0,-2441033.0
1010,,元智大學,元智大學,0,,私立,1,[1]一般,0,桃園市,北部,0,81.67,88.4,90.0,93.43,97.45,82.24,90.15,95.73,,1678.0,27.34,26.4,26.84,27.09,27.69,27.27,27.64,29.66,2.01,2.1,2.2,2.14,2.3,2.3,2.99,8449.0,8238.0,8078.0,8153.0,8196.0,8072.0,8238.0,8602.0,45429.0,-51543.0,47560.0,37916.0,47548.0,77680.0,162791.0
1011,,中華大學,中華大學學校財團法人中華大學,0,,私立,1,[1]一般,0,新竹市,北部,0,68.03,81.08,77.41,69.64,76.27,64.92,54.59,67.26,,808.0,23.81,24.03,22.17,20.5,21.61,20.43,20.88,18.54,8.22,6.56,6.83,7.35,6.27,6.06,6.53,6072.0,5624.0,4922.0,4429.0,4474.0,3922.0,3445.0,3022.0,-57456.0,274290.0,-130812.0,27724.0,-6118.0,13786.0,-16096.0
1012,,大葉大學,大葉大學,0,,私立,1,[1]一般,0,彰化縣,中部,1,63.94,72.68,76.88,75.64,69.91,58.07,47.87,56.35,,1016.0,28.06,28.1,26.55,23.46,21.64,18.84,16.15,14.36,6.21,6.17,6.02,5.44,4.93,4.78,6.44,9429.0,8823.0,7858.0,6826.0,6145.0,5218.0,4167.0,3346.0,103951.0,74800.0,55477.0,31908.0,-61291.0,-71195.0,-45029.0
1013,,華梵大學,華梵大學,0,,私立,1,[1]一般,0,新北市,北部,0,32.43,56.18,64.11,73.76,74.03,72.02,77.92,73.61,,235.0,20.04,18.12,16.48,13.07,13.04,11.87,11.82,13.55,1.77,1.55,1.57,3.07,2.1,3.04,3.09,2184.0,1721.0,1351.0,993.0,900.0,807.0,792.0,840.0,-52483.0,-80301.0,25577.0,-31937.0,-54185.0,-110829.0,106625.0
1014,,義守大學,義守大學,0,,私立,1,[1]一般,0,高雄市,南部,2,81.28,87.56,89.45,86.49,83.9,64.97,71.27,80.71,,2126.0,27.75,26.09,23.89,23.43,23.64,23.09,22.29,22.61,7.74,7.76,7.4,6.75,6.8,6.38,9.76,13432.0,13095.0,12780.0,12627.0,12576.0,11707.0,10675.0,9948.0,150073.0,306572.0,66368.0,83554.0,-42031.0,38488.0,529410.0
1015,,世新大學,世新大學,0,,私立,1,[1]一般,0,臺北市,北部,0,90.44,93.9,94.5,92.95,97.72,83.83,95.48,96.09,,2131.0,32.45,30.89,30.71,29.26,30.32,30.14,32.45,32.32,3.33,3.42,1.98,3.06,2.8,2.14,4.47,10579.0,10380.0,10195.0,10096.0,10186.0,9644.0,9704.0,9793.0,-5089.0,16332.0,83152.0,100015.0,-68277.0,111980.0,182648.0
1016,,銘傳大學,銘傳大學,0,,私立,1,[1]一般,0,臺北市,北部,0,93.13,92.17,92.01,93.73,94.74,83.16,86.36,94.74,,3432.0,31.1,31.67,31.66,31.47,32.77,31.49,31.81,31.61,3.73,3.04,2.95,4.31,3.51,3.75,8.34,18320.0,18147.0,17985.0,17842.0,18189.0,17511.0,16796.0,16629.0,122816.0,126282.0,27703.0,259228.0,179606.0,169787.0,584020.0
1017,,實踐大學,實踐大學,0,,私立,1,[1]一般,0,臺北市,北部,0,80.09,89.48,89.76,90.66,82.53,67.97,67.66,77.35,,2596.0,30.55,31.44,31.84,32.78,33.94,32.33,31.24,31.73,9.02,7.48,7.47,7.22,7.53,8.01,9.59,12158.0,11663.0,11302.0,11114.0,10997.0,10280.0,9466.0,9201.0,213274.0,114166.0,4283.0,-58456.0,164167.0,191853.0,383164.0
1019,,高雄醫學大學,高雄醫學大學,0,,私立,1,[1]一般,0,高雄市,南部,2,89.1,88.26,88.78,91.1,92.18,93.06,90.3,90.68,,1280.0,11.86,11.71,11.2,11.51,11.81,11.89,12.17,12.61,4.12,2.5,2.58,2.05,2.53,1.86,2.41,6606.0,6532.0,6249.0,6263.0,6320.0,6288.0,6400.0,6456.0,822904.0,238005.0,-330098.0,-279975.0,135948.0,-145095.0,283951.0
1020,,南華大學,南華大學,0,,私立,1,[1]一般,0,嘉義縣,南部,2,87.15,94.39,95.43,97.23,96.55,90.43,91.51,88.88,,968.0,22.62,25.52,24.1,25.95,24.64,23.29,23.64,22.9,3.91,4.34,2.74,2.76,2.68,2.77,5.54,4908.0,5181.0,4964.0,4982.0,4805.0,4495.0,4231.0,4054.0,38414.0,32988.0,15401.0,105341.0,40430.0,-16198.0,192931.0
1021,,真理大學,真理大學,0,,私立,1,[1]一般,0,新北市,北部,0,63.36,82.61,84.58,83.92,65.08,46.27,25.73,30.49,,1028.0,23.12,22.34,21.44,22.27,22.13,20.18,16.6,13.61,15.07,13.76,12.11,11.15,11.49,16.78,25.11,6473.0,5965.0,5466.0,5190.0,4979.0,4299.0,3270.0,2314.0,-8000.0,13440.0,-38172.0,867.0,41097.0,117170.0,92504.0
1022,,大同大學,大同大學,0,,私立,1,[1]一般,0,臺北市,北部,0,85.25,88.43,85.92,85.32,90.06,72.93,89.42,92.13,,775.0,25.52,26.32,26.47,27.15,27.43,27.38,27.81,29.3,1.8,2.18,1.44,1.12,1.04,0.9,1.82,4210.0,4158.0,3970.0,3883.0,3840.0,3669.0,3476.0,3370.0,100814.0,86073.0,45483.0,104543.0,257162.0,434699.0,301501.0
1027,,慈濟大學,慈濟學校財團法人慈濟大學,0,,私立,1,[1]一般,0,花蓮縣,東部,3,77.68,84.09,83.69,86.94,80.79,61.25,76.79,72.13,,860.0,13.64,14.19,14.19,14.09,14.35,12.93,11.8,14.08,2.3,1.99,1.57,1.17,1.48,1.67,2.61,3423.0,3405.0,3334.0,3354.0,3329.0,3038.0,2809.0,3887.0,25382.0,593835.0,183153.0,95107.0,212772.0,143780.0,407763.0
1028,,臺北醫學大學,臺北醫學大學,0,,私立,1,[1]一般,0,臺北市,北部,0,92.67,93.96,94.77,96.22,97.64,95.97,93.65,94.66,,952.0,9.52,9.53,8.71,8.52,8.56,8.4,8.26,8.22,28.36,27.32,29.44,30.92,29.07,30.25,30.7,5852.0,5872.0,5659.0,5686.0,5823.0,5854.0,5842.0,5907.0,450461.0,-16845.0,-135641.0,158538.0,-131586.0,438924.0,-232122.0
1029,,中山醫學大學,中山醫學大學,0,,私立,1,[1]一般,0,臺中市,中部,1,89.27,89.37,91.26,90.84,94.97,83.27,93.41,93.19,,1497.0,17.37,16.46,16.28,16.21,16.5,16.71,16.83,16.81,34.76,35.48,32.96,32.64,28.52,25.3,23.05,6930.0,6782.0,6595.0,6547.0,6765.0,6701.0,6818.0,6893.0,12618.0,58475.0,-70243.0,57862.0,316164.0,-16121.0,232888.0
1033,,長榮大學,長榮大學,0,,私立,1,[1]一般,0,臺南市,南部,2,66.36,78.98,89.66,82.77,71.22,53.35,56.8,69.3,,1264.0,25.86,25.83,24.73,24.12,23.49,21.42,19.77,17.09,4.49,3.57,3.55,3.69,4.31,3.75,9.34,9050.0,8626.0,7938.0,7741.0,7422.0,6427.0,5377.0,4495.0,32159.0,-31159.0,-76745.0,-62313.0,-102912.0,-189710.0,76600.0
1035,,中國醫藥大學,中國醫藥大學,0,,私立,1,[1]一般,0,臺中市,中部,1,89.55,91.65,91.18,93.31,92.57,94.22,92.18,94.37,,1298.0,15.14,14.77,13.97,13.64,13.82,14.18,14.06,14.61,4.79,5.42,5.31,4.86,5.16,3.92,3.36,7328.0,7313.0,7109.0,7108.0,7157.0,7217.0,7268.0,7407.0,140194.0,-120142.0,141263.0,-38078.0,418443.0,-188691.0,82756.0
1039,,玄奘大學,玄奘大學,0,,私立,1,[1]一般,0,新竹市,北部,0,47.95,54.58,65.96,80.75,72.34,61.77,48.6,58.48,,314.0,26.25,28.41,24.19,19.77,17.54,16.37,13.66,11.58,4.19,3.24,2.94,3.33,2.65,4.02,5.64,3701.0,3154.0,2588.0,2194.0,1877.0,1637.0,1366.0,1158.0,47432.0,-1711.0,-3861.0,15024.0,-24225.0,-98033.0,11512.0
1048,,亞洲大學,亞洲大學,0,,私立,1,[1]一般,0,臺中市,中部,1,90.63,93.23,94.27,90.86,91.34,79.22,90.2,90.93,,2286.0,26.75,27.1,25.86,26.11,26.7,26.72,27.59,26.64,20.2,13.67,5.33,5.39,4.8,6.23,6.05,10675.0,10408.0,10371.0,10260.0,10281.0,9940.0,9988.0,10098.0,-9792.0,193088.0,170738.0,348594.0,376984.0,328370.0,565228.0
1049,,開南大學,開南大學,0,,私立,1,[1]一般,0,桃園市,北部,0,56.11,74.52,88.72,89.31,76.1,72.44,71.14,80.48,,797.0,22.93,23.82,21.42,21.27,21.11,20.57,17.99,22.37,11.28,10.13,3.07,3.33,3.13,2.7,4.59,5848.0,5359.0,4520.0,4254.0,3864.0,3477.0,2915.0,3289.0,73730.0,33606.0,-244822.0,40760.0,55079.0,15364.0,78226.0
1050,,佛光大學,佛光大學,0,,私立,1,[1]一般,0,宜蘭縣,北部,0,79.9,82.35,86.85,84.87,78.85,71.21,64.88,65.45,,690.0,20.65,20.35,20.46,20.22,19.31,19.39,18.46,17.62,3.86,3.64,5.72,6.68,6.79,6.68,7.89,3635.0,3521.0,3396.0,3336.0,3129.0,2966.0,2658.0,2414.0,19153.0,-6304.0,99427.0,50543.0,185521.0,8624.0,100813.0
1079,,康寧大學,康寧學校財團法人康寧大學,0,,私立,1,[1]一般,0,臺北市,北部,0,78.04,63.62,73.07,94.18,84.42,86.58,90.25,87.14,,53.0,24.61,29.24,25.85,25.43,25.87,27.12,28.61,29.84,3.85,1.84,2.18,1.3,2.37,1.25,2.84,1098.0,704.0,392.0,294.0,244.0,185.0,156.0,137.0,12352.0,-38565.0,-17009.0,-19534.0,95446.0,-32876.0,184092.0
1125,,中信金融管理學院,中信學校財團法人中信金融管理學院,0,,私立,1,[1]一般,0,臺南市,南部,2,100.0,100.0,100.0,94.2,100.0,85.76,93.08,93.37,,220.0,12.71,13.77,14.08,14.47,13.36,15.49,16.3,15.78,9.41,8.72,5.29,4.25,4.94,4.42,4.79,483.0,661.0,718.0,796.0,882.0,883.0,913.0,868.0,-20602.0,-15145.0,-49697.0,6091.0,-8440.0,48559.0,-52152.0
1195,,馬偕醫學院,馬偕學校財團法人馬偕醫學院,0,,私立,1,[1]一般,0,新北市,北部,0,90.34,89.36,81.91,92.94,87.18,76.67,93.87,90.17,,250.0,6.47,5.66,5.39,6.0,6.12,5.98,6.13,6.54,2.15,2.0,2.1,1.86,1.57,1.99,2.75,666.0,708.0,684.0,762.0,795.0,777.0,822.0,896.0,122440.0,311865.0,34783.0,126293.0,132911.0,126302.0,176716.0
1196,,法鼓文理學院,法鼓學校財團法人法鼓文理學院,0,,私立,1,[1]一般,0,新北市,北部,0,72.92,68.52,80.19,68.27,77.98,80.95,89.74,89.74,,10.0,13.35,12.17,11.73,12.58,13.16,15.36,12.96,13.46,3.38,3.66,2.94,3.08,3.34,4.03,7.3,267.0,280.0,305.0,302.0,329.0,338.0,324.0,323.0,11490.0,24248.0,6217.0,13202.0,20839.0,30391.0,33580.0
1018,私立技專,朝陽科技大學,朝陽科技大學,0,,私立,1,[2]技職,1,臺中市,中部,1,87.61,90.59,92.0,89.07,88.87,90.23,90.93,94.67,,,30.68,30.41,30.81,31.11,31.72,30.5,30.14,30.75,5.85,5.59,6.09,6.82,6.53,5.57,8.97,12212.0,12194.0,12108.0,12227.0,12245.0,11895.0,11814.0,11991.0,284395.0,92651.0,-98556.0,254124.0,273715.0,230494.0,170912.0
1023,,南臺科技大學,南臺學校財團法人南臺科技大學,0,,私立,1,[2]技職,1,臺南市,南部,2,77.4,84.94,89.44,78.75,82.3,76.56,78.81,82.4,,,25.22,25.07,25.96,25.1,26.14,25.35,25.03,25.76,4.45,4.54,3.54,4.76,5.05,2.31,6.47,14150.0,13821.0,13789.0,13530.0,13249.0,12538.0,11740.0,11567.0,-75985.0,81806.0,65043.0,277653.0,283397.0,57798.0,478262.0
1024,,崑山科技大學,崑山科技大學,0,,私立,1,[2]技職,1,臺南市,南部,2,69.79,70.14,70.29,63.62,77.74,73.31,66.12,73.0,,,23.81,24.36,24.54,24.12,24.69,24.73,23.57,24.72,12.3,12.62,12.05,12.95,13.03,12.03,14.76,8500.0,8184.0,7974.0,7406.0,7136.0,6702.0,6105.0,6081.0,51245.0,64156.0,15863.0,174786.0,74445.0,-137961.0,168471.0
1025,,嘉南藥理大學,嘉藥學校財團法人嘉南藥理大學,0,,私立,1,[2]技職,1,臺南市,南部,2,64.9,62.38,76.67,78.31,73.05,59.47,63.53,68.23,,,26.82,24.94,24.34,25.33,26.74,25.68,24.52,24.16,9.12,9.47,8.18,7.31,6.89,6.7,7.55,12497.0,11322.0,10438.0,9700.0,9278.0,8592.0,7442.0,6840.0,-102125.0,-49295.0,68179.0,266149.0,161698.0,77772.0,340456.0
1026,,樹德科技大學,樹德科技大學,0,,私立,1,[2]技職,1,高雄市,南部,2,83.68,90.96,87.12,71.47,71.1,65.98,71.6,75.04,,,30.19,29.37,29.35,29.03,30.04,25.93,23.95,23.82,8.19,7.86,8.3,7.33,7.82,7.56,11.34,8303.0,8165.0,7955.0,7721.0,7631.0,6898.0,6298.0,5943.0,28141.0,49377.0,104229.0,37395.0,95819.0,-91873.0,106013.0
1030,,龍華科技大學,龍華科技大學,0,,私立,1,[2]技職,1,桃園市,北部,0,90.6,94.39,94.46,93.09,95.43,86.44,91.62,90.81,,,28.69,29.4,30.76,29.62,31.83,31.13,31.71,35.19,3.81,5.77,5.54,5.53,5.43,5.76,7.55,6807.0,7075.0,7138.0,7265.0,7980.0,7924.0,7603.0,8227.0,55996.0,104672.0,214627.0,291136.0,299997.0,235846.0,352743.0
1031,,輔英科技大學,輔英科技大學,0,,私立,1,[2]技職,1,高雄市,南部,2,88.55,91.24,91.38,90.83,86.19,74.07,73.38,74.11,,,24.69,24.62,26.86,25.22,25.47,25.09,24.65,25.13,5.34,4.82,4.52,4.51,4.86,4.3,6.35,5422.0,5381.0,5371.0,5318.0,5417.0,4999.0,4481.0,4277.0,60755.0,36040.0,82032.0,118690.0,172562.0,72850.0,207347.0
1032,,明新科技大學,明新學校財團法人明新科技大學,0,,私立,1,[2]技職,1,新竹縣,北部,0,69.49,81.62,81.91,70.95,75.4,76.98,76.81,76.44,,,23.25,23.73,24.8,24.26,24.41,23.25,22.2,23.95,13.85,13.76,12.29,11.02,10.34,12.79,16.23,8511.0,8615.0,8408.0,7714.0,7422.0,6928.0,6482.0,6658.0,-4288.0,9355.0,-14170.0,72801.0,49494.0,-11112.0,-72662.0
1034,,弘光科技大學,弘光科技大學,0,,私立,1,[2]技職,1,臺中市,中部,1,91.81,93.53,92.81,93.05,92.54,87.02,85.41,84.56,,,27.06,24.25,26.17,25.24,25.36,25.1,24.95,25.16,9.96,9.62,10.47,11.42,11.21,8.49,14.77,8313.0,8271.0,8198.0,8120.0,8160.0,7892.0,7667.0,7562.0,104559.0,-492305.0,-1641.0,68.0,74266.0,10539.0,360456.0
1036,,健行科技大學,健行學校財團法人健行科技大學,0,,私立,1,[2]技職,1,桃園市,北部,0,78.42,88.74,85.27,78.33,81.28,68.73,75.0,73.43,,,24.59,26.58,26.85,25.1,25.94,23.19,22.75,23.08,3.78,3.54,3.59,3.2,3.07,2.79,6.24,7278.0,7524.0,7277.0,6953.0,6900.0,6262.0,5846.0,5424.0,-119334.0,62508.0,104897.0,131368.0,163757.0,80704.0,140194.0
1037,,正修科技大學,正修學校財團法人正修科技大學,0,,私立,1,[2]技職,1,高雄市,南部,2,87.56,93.44,88.43,82.49,79.03,77.74,72.86,76.35,,,22.37,22.62,21.5,21.86,23.31,21.75,20.85,22.6,4.92,4.33,4.76,5.13,5.4,5.26,8.92,9620.0,9320.0,9093.0,8872.0,9072.0,8492.0,7919.0,7827.0,31635.0,35387.0,101487.0,111100.0,-401602.0,390162.0,67155.0
1038,,萬能科技大學,萬能學校財團法人萬能科技大學,0,,私立,1,[2]技職,1,桃園市,北部,0,86.42,85.71,78.58,66.72,71.25,74.11,75.1,81.88,,,26.15,28.13,25.69,25.93,25.33,24.15,24.32,26.97,7.85,6.87,6.58,5.72,4.95,3.85,5.76,6276.0,6414.0,6294.0,6250.0,5927.0,5459.0,5155.0,5393.0,-52597.0,69995.0,63878.0,74650.0,84642.0,7583.0,97761.0
1040,,建國科技大學,建國科技大學,0,,私立,1,[2]技職,1,彰化縣,中部,1,60.17,71.91,72.43,55.57,60.57,67.35,55.2,57.37,,,22.27,21.75,20.58,19.32,19.11,15.93,14.29,15.39,8.71,7.61,5.96,14.68,15.02,12.13,8.74,5745.0,5373.0,4858.0,4154.0,3669.0,2820.0,2215.0,2109.0,-41744.0,-73966.0,20423.0,223031.0,6373.0,-163669.0,39114.0
1041,,明志科技大學,明志科技大學,0,,私立,1,[2]技職,1,新北市,北部,0,84.28,90.69,91.13,93.24,97.08,96.12,100.0,98.48,,,20.62,21.04,21.12,20.59,20.78,20.02,19.96,20.73,0.71,1.02,0.84,0.95,1.08,1.18,1.8,4041.0,4040.0,4055.0,4097.0,4135.0,4124.0,4191.0,4292.0,853285.0,387259.0,1172473.0,-210964.0,99751.0,1607759.0,-1416033.0
1042,,台鋼科技大學,台鋼學校財團法人台鋼科技大學,0,,私立,1,[2]技職,1,高雄市,南部,2,51.16,47.48,60.41,60.41,60.48,24.51,15.7,63.4,,,16.3,14.07,12.58,10.42,10.7,8.31,6.45,10.54,3.77,3.25,2.87,3.2,6.03,1.37,2.93,3960.0,3165.0,2402.0,1876.0,1723.0,1222.0,721.0,833.0,-85039.0,-163162.0,-178583.0,-118674.0,-68450.0,41088.0,61615.0
1043,,大仁科技大學,大仁科技大學,0,,私立,1,[2]技職,1,屏東縣,南部,2,73.5,71.8,72.47,66.78,72.86,75.28,69.77,74.66,,,19.39,22.3,20.9,21.28,21.11,20.08,19.5,19.1,7.34,5.82,5.54,5.92,5.72,6.6,10.03,4654.0,4304.0,3867.0,3469.0,3188.0,2851.0,2398.0,2263.0,20788.0,5157.0,8383.0,40579.0,27747.0,43077.0,26224.0
1044,,聖約翰科技大學,聖約翰科技大學,0,,私立,1,[2]技職,1,新北市,北部,0,62.74,63.86,43.65,40.05,40.46,35.31,65.03,62.43,,,20.43,19.69,15.43,14.07,10.73,9.54,6.98,5.49,3.97,4.92,4.92,3.77,2.99,2.68,3.31,3482.0,3119.0,2222.0,1577.0,1108.0,665.0,366.0,265.0,-87893.0,-94188.0,-142300.0,-107429.0,-29017.0,65472.0,-52673.0
1045,,嶺東科技大學,嶺東科技大學,0,,私立,1,[2]技職,1,臺中市,中部,1,92.33,95.23,95.62,91.35,91.03,85.07,81.27,83.36,,,29.22,29.0,28.02,27.78,27.78,26.57,26.23,26.75,8.39,7.42,6.82,7.41,5.51,2.45,5.52,7567.0,7511.0,7565.0,7556.0,7445.0,6829.0,6190.0,5993.0,74.0,17544.0,157780.0,223250.0,422776.0,-146643.0,294352.0
1046,,中國科技大學,中國科技大學,0,,私立,1,[2]技職,1,臺北市,北部,0,71.0,75.25,82.47,71.28,72.58,60.13,56.5,63.98,,,29.16,28.14,28.27,27.3,27.65,26.93,22.99,21.31,4.89,5.11,5.07,5.17,5.2,4.41,6.23,8866.0,8133.0,7406.0,6525.0,6248.0,5601.0,4620.0,4220.0,134662.0,139924.0,144863.0,135181.0,150461.0,-513259.0,-34051.0
1047,,中臺科技大學,中臺科技大學,0,,私立,1,[2]技職,1,臺中市,中部,1,78.65,82.21,83.37,75.89,76.72,65.69,70.97,74.18,,,22.37,22.25,21.52,22.75,22.01,20.22,19.29,19.23,5.72,5.18,4.28,3.74,3.95,6.5,7.67,6018.0,5764.0,5573.0,5324.0,5062.0,4468.0,3973.0,3900.0,138987.0,17786.0,48008.0,66163.0,65913.0,87407.0,81357.0
1051,,台南應用科技大學,台南家專學校財團法人台南應用科技大學,0,,私立,1,[2]技職,1,臺南市,南部,2,83.1,88.65,90.11,84.87,76.72,65.48,69.47,73.5,,,30.37,29.82,29.52,29.03,27.98,26.87,26.41,26.56,3.98,3.88,3.82,3.5,3.22,3.28,6.02,8902.0,8726.0,8631.0,8490.0,8254.0,7588.0,7018.0,6780.0,280257.0,224202.0,150547.0,88980.0,23555.0,106317.0,250964.0
1052,,中信科技大學,中信金學校財團法人中信科技大學,0,,私立,1,[2]技職,1,臺南市,南部,2,56.34,64.81,62.02,52.65,50.14,53.84,47.55,72.38,,,23.77,22.82,20.07,19.08,16.96,14.15,13.65,12.54,8.25,8.78,6.84,6.58,7.02,4.91,10.03,5514.0,4769.0,3993.0,3416.0,2714.0,2024.0,1433.0,1141.0,19406.0,-23720.0,5269.0,566.0,-51551.0,-132673.0,62738.0
1053,,元培醫事科技大學,光宇學校財團法人元培醫事科技大學,0,,私立,1,[2]技職,1,新竹市,北部,0,73.64,76.94,80.94,79.56,75.75,63.22,50.44,54.71,,,23.48,23.47,21.94,22.1,22.91,19.67,16.4,17.55,5.62,4.27,3.17,3.83,3.82,3.31,5.75,5095.0,4717.0,4301.0,4044.0,3871.0,3384.0,2804.0,2580.0,10770.0,-56310.0,13642.0,77476.0,44962.0,-32918.0,37215.0
1054,,景文科技大學,景文科技大學,0,,私立,1,[2]技職,1,新北市,北部,0,77.13,76.94,76.7,62.6,62.18,70.22,74.95,76.33,,,26.95,27.69,27.51,29.99,28.22,27.86,26.21,27.46,6.11,5.54,4.83,5.47,5.4,6.1,7.33,5389.0,5234.0,5117.0,5099.0,4685.0,4235.0,3617.0,3405.0,49004.0,59842.0,75639.0,129488.0,52324.0,-5559.0,110221.0
1055,,中華醫事科技大學,中華醫事科技大學,0,,私立,1,[2]技職,1,臺南市,南部,2,74.26,77.19,73.46,77.17,77.46,76.22,71.1,71.05,,,26.26,28.52,27.61,27.42,28.4,25.4,24.78,24.87,5.75,4.76,4.47,5.18,5.45,3.73,7.68,4999.0,4823.0,4480.0,4193.0,3981.0,3419.0,2995.0,2669.0,98052.0,83215.0,132213.0,219047.0,137047.0,13197.0,188408.0
1056,,東南科技大學,東南科技大學,0,,私立,1,[2]技職,1,新北市,北部,0,66.6,81.95,76.04,60.27,60.14,62.06,56.81,67.8,,,27.31,27.82,26.99,26.89,27.12,27.17,24.63,29.63,4.11,4.73,5.34,4.89,5.03,5.84,6.94,5735.0,5342.0,4886.0,4518.0,4177.0,3776.0,3104.0,3052.0,-34386.0,12236.0,50035.0,-13818.0,-32018.0,-251.0,25150.0
1057,,德明財經科技大學,德明財經科技大學,0,,私立,1,[2]技職,1,臺北市,北部,0,69.81,80.34,87.14,71.51,79.67,65.54,60.86,70.91,,,30.94,32.11,30.9,30.23,30.47,28.25,26.13,26.72,2.63,2.6,2.39,2.48,2.67,2.01,4.38,7272.0,7290.0,7076.0,6742.0,6733.0,5933.0,5121.0,4702.0,99708.0,342753.0,74095.0,198661.0,23616.0,69589.0,187422.0
1060,,南開科技大學,南開科技大學,0,,私立,1,[2]技職,1,南投縣,中部,1,62.08,73.93,70.8,70.44,72.74,67.78,65.43,74.39,,,21.9,21.51,21.79,19.93,20.38,18.7,17.49,19.24,5.44,6.54,6.46,4.77,4.57,4.16,6.98,3342.0,3058.0,2576.0,2205.0,1867.0,1548.0,1378.0,1386.0,-32623.0,-34483.0,-34456.0,-25861.0,-65897.0,-86792.0,-14084.0
1061,,中華科技大學,中華學校財團法人中華科技大學,0,,私立,1,[2]技職,1,臺北市,北部,0,64.96,70.72,72.64,60.34,57.18,57.88,63.48,65.99,,,23.19,22.19,23.18,22.89,21.57,20.33,16.57,15.49,9.74,8.88,5.67,4.66,3.35,5.04,6.6,5287.0,4571.0,3917.0,3479.0,3085.0,2562.0,1906.0,1551.0,-51802.0,29385.0,-19639.0,-6339.0,19396.0,-14753.0,80594.0
1062,,僑光科技大學,僑光科技大學,0,,私立,1,[2]技職,1,臺中市,中部,1,94.48,96.4,95.72,90.75,82.85,72.55,81.23,84.55,,,29.46,29.38,28.41,27.12,26.96,25.36,25.48,26.55,2.86,3.04,2.52,2.25,2.32,1.96,4.56,6599.0,6581.0,6506.0,6292.0,5931.0,5325.0,4918.0,4858.0,254239.0,276638.0,278012.0,181775.0,192790.0,60494.0,138261.0
